Animal_Id,Outcome_Type,Outcome_Subtype,Outcome_Date,Impound_Number,Outcome_Condition
A1140148,LOST EXP,OTHER,03/11/2022 12:00:00 AM,K22-547414,N/A
A1140149,ADOPTION,WESTMORELD,02/13/2022 12:00:00 AM,K22-547415,APP WNL
A1140150,RETURNED TO OWNER,WESTMORELD,02/08/2022 12:00:00 AM,K22-547416,APP WNL
A1140153,ADOPTION,WESTMORELD,03/16/2022 12:00:00 AM,K22-547418,APP WNL
A1140154,WILDLIFE,RELEASE,02/08/2022 12:00:00 AM,K22-547421,APP WNL
A1140155,EUTHANIZED,HUMANE,02/08/2022 12:00:00 AM,K22-547424,CRITICAL
A1140156,LOST EXP,OTHER,03/11/2022 12:00:00 AM,K22-547425,N/A
A1140157,TRANSFER,GENERAL,02/13/2022 12:00:00 AM,K22-547427,APP WNL
A1140158,ADOPTION,WESTMORELD,02/14/2022 12:00:00 AM,K22-547428,APP WNL
A1140159,TRANSFER,MEDICAL,02/08/2022 12:00:00 AM,K22-547429,APP SICK
A1140160,LOST EXP,OTHER,03/11/2022 12:00:00 AM,K22-547431,N/A
A1140161,RETURNED TO OWNER,WESTMORELD,02/09/2022 12:00:00 AM,K22-547435,APP WNL
A1140161,RETURNED TO OWNER,WESTMORELD,02/15/2022 12:00:00 AM,K22-547887,APP WNL
A1140162,RETURNED TO OWNER,WESTMORELD,02/08/2022 12:00:00 AM,K22-547436,APP WNL
A1140163,RETURNED TO OWNER,WESTMORELD,02/20/2022 12:00:00 AM,K22-547439,APP WNL
A1140164,RETURNED TO OWNER,WESTMORELD,02/08/2022 12:00:00 AM,K22-547438,APP WNL
A1140165,ADOPTION,WESTMORELD,02/09/2022 12:00:00 AM,K22-547437,APP WNL
A1140166,TRANSFER,MEDICAL,02/08/2022 12:00:00 AM,K22-547440,APP INJ
A1140167,TRANSFER,MEDICAL,02/12/2022 12:00:00 AM,K22-547441,APP INJ
A1140168,FOSTER,GENERAL,03/13/2022 12:00:00 AM,K22-547443,APP WNL
A1140168,ADOPTION,IN FOSTER,03/29/2022 12:00:00 AM,K22-550737,APP WNL
A1140170,ADOPTION,BY FOSTER,03/13/2022 12:00:00 AM,K22-549666,APP WNL
A1140170,FOSTER,GENERAL,02/10/2022 12:00:00 AM,K22-547442,APP WNL
A1140171,FOSTER,UNDERAGE,02/10/2022 12:00:00 AM,K22-547444,APP WNL
A1140171,ADOPTION,IN FOSTER,03/13/2022 12:00:00 AM,K22-549670,APP WNL
A1140172,ADOPTION,WESTMORELD,03/13/2022 12:00:00 AM,K22-549668,APP WNL
A1140172,FOSTER,UNDERAGE,02/10/2022 12:00:00 AM,K22-547445,APP WNL
A1140173,FOSTER,UNDERAGE,02/10/2022 12:00:00 AM,K22-547446,APP WNL
A1140173,ADOPTION,ADOPETS,03/13/2022 12:00:00 AM,K22-549669,APP WNL
A1140174,ADOPTION,ADOPETS,02/12/2022 12:00:00 AM,K22-547447,APP WNL
A1140175,EUTHANIZED,MEDICAL,03/07/2022 12:00:00 AM,K22-547448,APP SICK
A1140176,ADOPTION,WESTMORELD,02/09/2022 12:00:00 AM,K22-547449,APP WNL
A1140176,ADOPTION,EAC,02/11/2022 12:00:00 AM,K22-547572,APP WNL
A1140177,ADOPTION,WESTMORELD,02/09/2022 12:00:00 AM,K22-547450,APP WNL
A1140178,ADOPTION,WESTMORELD,02/11/2022 12:00:00 AM,K22-547451,APP WNL
A1140178,ADOPTION,WESTMORELD,05/29/2022 12:00:00 AM,K22-554531,APP WNL
A1140179,TRANSFER,GENERAL,06/30/2022 12:00:00 AM,K22-554448,APP WNL
A1140179,ADOPTION,WESTMORELD,02/09/2022 12:00:00 AM,K22-547452,APP WNL
A1140180,ADOPTION,WESTMORELD,02/09/2022 12:00:00 AM,K22-547453,APP WNL
A1140181,ADOPTION,WESTMORELD,02/11/2022 12:00:00 AM,K22-547454,APP WNL
A1140181,ADOPTION,WESTMORELD,05/30/2022 12:00:00 AM,K22-555117,APP WNL
A1140182,RETURNED TO OWNER,FIELD,02/08/2022 12:00:00 AM,K22-547455,APP WNL
A1140183,RETURNED TO OWNER,FIELD,02/08/2022 12:00:00 AM,K22-547458,APP WNL
A1140184,RETURNED TO OWNER,FIELD,02/08/2022 12:00:00 AM,K22-547459,APP WNL
A1140185,SNR,ASO,02/13/2022 12:00:00 AM,K22-547461,APP WNL
A1140185,EUTHANIZED,MEDICAL,05/26/2022 12:00:00 AM,K22-555589,APP INJ
A1140186,ADOPTION,ADOPETS,02/14/2022 12:00:00 AM,K22-547462,APP WNL
A1140187,DIED,ENROUTE,02/08/2022 12:00:00 AM,K22-547463,CRITICAL
A1140188,ADOPTION,WESTMORELD,02/09/2022 12:00:00 AM,K22-547464,APP WNL
A1140189,LOST EXP,OTHER,03/11/2022 12:00:00 AM,K22-547466,N/A
A1140190,LOST EXP,OTHER,03/11/2022 12:00:00 AM,K22-547467,N/A
A1140191,LOST EXP,OTHER,03/11/2022 12:00:00 AM,K22-547468,N/A
A1140192,LOST EXP,OTHER,03/11/2022 12:00:00 AM,K22-547469,N/A
A1140194,EUTHANIZED,HUMANE,02/08/2022 12:00:00 AM,K22-547471,FATAL
A1140195,LOST EXP,OTHER,03/11/2022 12:00:00 AM,K22-547473,N/A
A1140196,LOST EXP,OTHER,03/11/2022 12:00:00 AM,K22-547474,N/A
A1140197,RETURNED TO OWNER,FIELD,02/08/2022 12:00:00 AM,K22-547475,APP WNL
A1140200,RETURNED TO OWNER,WESTMORELD,02/10/2022 12:00:00 AM,K22-547476,APP WNL
A1140200,RETURNED TO OWNER,WESTMORELD,02/28/2022 12:00:00 AM,K22-548611,APP WNL
A1140201,ADOPTION,WESTMORELD,02/09/2022 12:00:00 AM,K22-547477,APP WNL
A1140203,TRANSFER,MEDICAL,02/12/2022 12:00:00 AM,K22-547478,APP SICK
A1140207,ADOPTION,ADOPETS,02/12/2022 12:00:00 AM,K22-547481,APP WNL
A1140208,ADOPTION,WESTMORELD,02/25/2022 12:00:00 AM,K22-547482,APP WNL
A1140209,ADOPTION,EAC,02/12/2022 12:00:00 AM,K22-547483,APP WNL
A1140210,ADOPTION,WESTMORELD,02/10/2022 12:00:00 AM,K22-547484,APP WNL
A1140211,ADOPTION,WESTMORELD,02/27/2022 12:00:00 AM,K22-547486,APP WNL
A1140213,LOST EXP,OTHER,03/11/2022 12:00:00 AM,K22-547488,N/A
A1140220,ADOPTION,WESTMORELD,02/12/2022 12:00:00 AM,K22-547489,APP WNL
A1140225,ADOPTION,WESTMORELD,02/12/2022 12:00:00 AM,K22-547490,APP WNL
A1140231,EUTHANIZED,BEHAVIOR,02/11/2022 12:00:00 AM,K22-547495,APP WNL
A1140232,EUTHANIZED,BEHAVIOR,02/26/2022 12:00:00 AM,K22-547491,APP WNL
A1140234,ADOPTION,WESTMORELD,02/21/2022 12:00:00 AM,K22-547492,APP WNL
A1140234,ADOPTION,WESTMORELD,03/19/2022 12:00:00 AM,K22-548814,APP WNL
A1140234,ADOPTION,WESTMORELD,03/21/2022 12:00:00 AM,K22-550077,APP WNL
A1140234,ADOPTION,WESTMORELD,04/12/2022 12:00:00 AM,K22-550228,APP WNL
A1140237,LOST EXP,OTHER,03/11/2022 12:00:00 AM,K22-547493,N/A
A1140238,ADOPTION,WESTMORELD,03/12/2022 12:00:00 AM,K22-547494,APP WNL
A1140240,RETURNED TO OWNER,FIELD,02/08/2022 12:00:00 AM,K22-547497,APP WNL
A1140242,ADOPTION,WESTMORELD,02/12/2022 12:00:00 AM,K22-547496,APP WNL
A1140243,EUTHANIZED,HUMANE,02/09/2022 12:00:00 AM,K22-547498,CRITICAL
A1140246,LOST EXP,OTHER,03/11/2022 12:00:00 AM,K22-547499,N/A
A1140247,LOST EXP,OTHER,03/11/2022 12:00:00 AM,K22-547500,N/A
A1140248,FOUND EXP,OTHER,03/11/2022 12:00:00 AM,K22-547501,N/A
A1140255,EUTHANIZED,HUMANE,02/16/2022 12:00:00 AM,K22-547502,APP SICK
A1140256,ADOPTION,WESTMORELD,02/14/2022 12:00:00 AM,K22-547503,APP WNL
A1140256,TREATMENT,COMPLETED,04/19/2022 12:00:00 AM,K22-552431,APP WNL
A1140256,TREATMENT,COMPLETED,06/04/2022 12:00:00 AM,K22-556396,APP WNL
A1140257,TRANSFER,MEDICAL,02/13/2022 12:00:00 AM,K22-547504,APP INJ
A1140258,EUTHANIZED,MEDICAL,03/11/2022 12:00:00 AM,K22-547505,APP SICK
A1140259,LOST EXP,OTHER,03/12/2022 12:00:00 AM,K22-547507,N/A
A1140260,LOST EXP,OTHER,03/12/2022 12:00:00 AM,K22-547508,N/A
A1140262,ADOPTION,ADOPETS,02/13/2022 12:00:00 AM,K22-547509,APP WNL
A1140263,TRANSFER,GENERAL,02/15/2022 12:00:00 AM,K22-547511,APP WNL
A1140265,ADOPTION,WESTMORELD,02/13/2022 12:00:00 AM,K22-547512,APP WNL
A1140266,LOST EXP,OTHER,03/12/2022 12:00:00 AM,K22-547513,N/A
A1140272,RETURNED TO OWNER,FIELD,02/09/2022 12:00:00 AM,K22-547526,APP WNL
A1140272,RETURNED TO OWNER,FIELD,04/26/2022 12:00:00 AM,K22-552997,APP WNL
A1140273,RETURNED TO OWNER,FIELD,02/09/2022 12:00:00 AM,K22-547525,APP WNL
A1140274,RETURNED TO OWNER,FIELD,02/09/2022 12:00:00 AM,K22-547524,APP WNL
A1140275,FOUND EXP,OTHER,03/12/2022 12:00:00 AM,K22-547522,N/A
A1140276,RETURNED TO OWNER,FIELD,02/09/2022 12:00:00 AM,K22-547523,APP WNL
A1140281,EUTHANIZED,HUMANE,02/15/2022 12:00:00 AM,K22-547534,CRITICAL
A1140283,EUTHANIZED,BEHAVIOR,04/11/2022 12:00:00 AM,K22-550936,APP WNL
A1140284,RETURNED TO OWNER,FIELD,02/09/2022 12:00:00 AM,K22-547536,APP WNL
A1140285,RETURNED TO OWNER,FIELD,02/09/2022 12:00:00 AM,K22-547535,APP WNL
A1140286,ADOPTION,ADOPETS,02/22/2022 12:00:00 AM,K22-547537,APP WNL
A1140286,TRANSFER,GENERAL,04/13/2022 12:00:00 AM,K22-550261,APP WNL
A1140287,EUTHANIZED,BEHAVIOR,03/09/2022 12:00:00 AM,K22-548585,APP WNL
A1140287,RETURNED TO OWNER,WESTMORELD,02/10/2022 12:00:00 AM,K22-547538,APP WNL
A1140288,ADOPTION,WESTMORELD,05/12/2022 12:00:00 AM,K22-547539,APP WNL
A1140289,FOSTER,GENERAL,02/13/2022 12:00:00 AM,K22-547540,APP WNL
A1140289,ADOPTION,WESTMORELD,03/04/2022 12:00:00 AM,K22-547980,APP WNL
A1140290,RETURNED TO OWNER,WESTMORELD,02/09/2022 12:00:00 AM,K22-547541,APP WNL
A1140291,TRANSFER,MEDICAL,02/12/2022 12:00:00 AM,K22-547542,APP INJ
A1140292,EUTHANIZED,HUMANE,02/10/2022 12:00:00 AM,K22-547543,CRITICAL
A1140293,ADOPTION,WESTMORELD,02/12/2022 12:00:00 AM,K22-547548,APP WNL
A1140294,DIED,IN KENNEL,02/09/2022 12:00:00 AM,K22-547549,DECEASED
A1140297,ADOPTION,WESTMORELD,02/15/2022 12:00:00 AM,K22-547551,APP WNL
A1140298,EUTHANIZED,MEDICAL,02/09/2022 12:00:00 AM,K22-547552,APP INJ
A1140302,TRANSFER,BEHAVIOR,02/17/2022 12:00:00 AM,K22-547553,APP WNL
A1140303,ADOPTION,WESTMORELD,02/13/2022 12:00:00 AM,K22-547554,APP WNL
A1140306,TRANSFER,MEDICAL,02/11/2022 12:00:00 AM,K22-547558,APP SICK
A1140308,LOST EXP,OTHER,03/12/2022 12:00:00 AM,K22-547556,N/A
A1140309,LOST EXP,OTHER,03/12/2022 12:00:00 AM,K22-547557,N/A
A1140310,ADOPTION,WESTMORELD,03/05/2022 12:00:00 AM,K22-547559,APP WNL
A1140313,ADOPTION,WESTMORELD,02/14/2022 12:00:00 AM,K22-547560,APP WNL
A1140314,ADOPTION,WESTMORELD,02/26/2022 12:00:00 AM,K22-547561,APP WNL
A1140315,ADOPTION,WESTMORELD,03/27/2022 12:00:00 AM,K22-547564,APP WNL
A1140315,ADOPTION,WESTMORELD,06/19/2022 12:00:00 AM,K22-557586,APP WNL
A1140320,LOST EXP,OTHER,03/12/2022 12:00:00 AM,K22-547568,N/A
A1140321,LOST EXP,OTHER,03/12/2022 12:00:00 AM,K22-547569,N/A
A1140322,LOST EXP,OTHER,03/12/2022 12:00:00 AM,K22-547570,N/A
A1140323,ADOPTION,WESTMORELD,02/13/2022 12:00:00 AM,K22-547574,APP WNL
A1140324,TRANSFER,UNDERAGE,02/14/2022 12:00:00 AM,K22-547575,UNDERAGE
A1140325,FOUND EXP,OTHER,03/12/2022 12:00:00 AM,K22-547576,N/A
A1140326,FOUND EXP,OTHER,03/12/2022 12:00:00 AM,K22-547577,N/A
A1140327,FOUND EXP,OTHER,03/12/2022 12:00:00 AM,K22-547578,N/A
A1140328,LOST EXP,OTHER,03/12/2022 12:00:00 AM,K22-547579,N/A
A1140329,ADOPTION,WESTMORELD,02/12/2022 12:00:00 AM,K22-547580,APP WNL
A1140330,ADOPTION,WESTMORELD,02/12/2022 12:00:00 AM,K22-547581,APP WNL
A1140331,ADOPTION,WESTMORELD,02/12/2022 12:00:00 AM,K22-547582,APP WNL
A1140335,RETURNED TO OWNER,FIELD,02/09/2022 12:00:00 AM,K22-547584,APP WNL
A1140336,RETURNED TO OWNER,FIELD,02/09/2022 12:00:00 AM,K22-547585,APP WNL
A1140337,RETURNED TO OWNER,FIELD,02/09/2022 12:00:00 AM,K22-547586,APP WNL
A1140338,RETURNED TO OWNER,WESTMORELD,02/11/2022 12:00:00 AM,K22-547587,APP WNL
A1140339,SNR,ASO,02/13/2022 12:00:00 AM,K22-547588,APP WNL
A1140340,SNR,ASO,02/13/2022 12:00:00 AM,K22-547589,APP WNL
A1140342,EUTHANIZED,MEDICAL,03/09/2022 12:00:00 AM,K22-547590,APP SICK
A1140343,FOUND EXP,OTHER,03/12/2022 12:00:00 AM,K22-547591,N/A
A1140344,DIED,IN KENNEL,02/10/2022 12:00:00 AM,K22-547592,CRITICAL
A1140345,TRANSFER,MEDICAL,02/14/2022 12:00:00 AM,K22-547593,APP SICK
A1140346,FOUND EXP,OTHER,03/12/2022 12:00:00 AM,K22-547594,N/A
A1140348,LOST EXP,OTHER,03/13/2022 12:00:00 AM,K22-547595,N/A
A1140350,RETURNED TO OWNER,WESTMORELD,02/14/2022 12:00:00 AM,K22-547596,APP WNL
A1140351,RETURNED TO OWNER,WESTMORELD,02/10/2022 12:00:00 AM,K22-547597,APP WNL
A1140352,RETURNED TO OWNER,WESTMORELD,02/14/2022 12:00:00 AM,K22-547598,APP WNL
A1140354,RETURNED TO OWNER,FIELD,02/10/2022 12:00:00 AM,K22-547600,APP WNL
A1140358,EUTHANIZED,BITE,02/11/2022 12:00:00 AM,K22-547606,APP WNL
A1140361,ADOPTION,WESTMORELD,02/26/2022 12:00:00 AM,K22-547605,APP WNL
A1140361,TREATMENT,COMPLETED,06/13/2022 12:00:00 AM,K22-557116,APP WNL
A1140361,TREATMENT,COMPLETED,05/03/2022 12:00:00 AM,K22-553643,APP WNL
A1140361,TREATMENT,COMPLETED,04/03/2022 12:00:00 AM,K22-551126,APP WNL
A1140362,EUTHANIZED,BITE,02/11/2022 12:00:00 AM,K22-547607,APP WNL
A1140363,ADOPTION,ADOPETS,02/16/2022 12:00:00 AM,K22-547609,APP WNL
A1140367,LOST EXP,OTHER,03/13/2022 12:00:00 AM,K22-547616,N/A
A1140368,ADOPTION,WESTMORELD,02/11/2022 12:00:00 AM,K22-547617,APP WNL
A1140369,ADOPTION,WESTMORELD,02/11/2022 12:00:00 AM,K22-547618,APP WNL
A1140370,ADOPTION,WESTMORELD,02/11/2022 12:00:00 AM,K22-547619,APP WNL
A1140374,ADOPTION,WESTMORELD,02/13/2022 12:00:00 AM,K22-547620,APP WNL
A1140375,ADOPTION,ADOPETS,02/12/2022 12:00:00 AM,K22-547621,APP WNL
A1140376,ADOPTION,WESTMORELD,02/11/2022 12:00:00 AM,K22-547622,APP WNL
A1140378,ADOPTION,ADOPETS,02/13/2022 12:00:00 AM,K22-547623,APP WNL
A1140379,ADOPTION,WESTMORELD,02/12/2022 12:00:00 AM,K22-547624,APP WNL
A1140380,TRANSFER,GENERAL,02/13/2022 12:00:00 AM,K22-547625,APP WNL
A1140382,LOST EXP,OTHER,03/13/2022 12:00:00 AM,K22-547626,N/A
A1140388,ADOPTION,WESTMORELD,02/14/2022 12:00:00 AM,K22-547630,APP WNL
A1140388,ADOPTION,ADOPETS,02/28/2022 12:00:00 AM,K22-548578,APP WNL
A1140388,FOSTER,SAME DAY,02/21/2022 12:00:00 AM,K22-548249,APP WNL
A1140389,TRANSFER,MEDICAL,02/14/2022 12:00:00 AM,K22-547633,APP INJ
A1140390,TRANSFER,GENERAL,02/15/2022 12:00:00 AM,K22-547634,APP WNL
A1140391,TRANSFER,GENERAL,02/15/2022 12:00:00 AM,K22-547635,APP WNL
A1140392,EUTHANIZED,MEDICAL,02/10/2022 12:00:00 AM,K22-547636,APP SICK
A1140393,LOST EXP,OTHER,03/13/2022 12:00:00 AM,K22-547637,N/A
A1140397,LOST EXP,OTHER,03/13/2022 12:00:00 AM,K22-547639,N/A
A1140398,RETURNED TO OWNER,WESTMORELD,02/21/2022 12:00:00 AM,K22-547642,APP WNL
A1140400,RETURNED TO OWNER,WESTMORELD,02/22/2022 12:00:00 AM,K22-547646,APP WNL
A1140401,EUTHANIZED,MEDICAL,03/09/2022 12:00:00 AM,K22-547643,APP SICK
A1140402,RETURNED TO OWNER,FIELD,02/10/2022 12:00:00 AM,K22-547645,APP WNL
A1140403,RETURNED TO OWNER,FIELD,02/10/2022 12:00:00 AM,K22-547644,APP WNL
A1140404,EUTHANIZED,MEDICAL,03/09/2022 12:00:00 AM,K22-547647,APP SICK
A1140406,ADOPTION,ADOPETS,02/28/2022 12:00:00 AM,K22-547648,APP WNL
A1140406,RETURNED TO OWNER,WESTMORELD,04/04/2022 12:00:00 AM,K22-550443,APP WNL
A1140407,EUTHANIZED,MEDICAL,02/10/2022 12:00:00 AM,K22-547649,APP SICK
A1140408,EUTHANIZED,MEDICAL,03/09/2022 12:00:00 AM,K22-547653,APP SICK
A1140409,EUTHANIZED,BITE,02/14/2022 12:00:00 AM,K22-547652,APP WNL
A1140410,FOSTER,UNDERAGE,02/12/2022 12:00:00 AM,K22-547654,APP WNL
A1140410,TREATMENT,COMPLETED,03/08/2022 12:00:00 AM,K22-549335,APP WNL
A1140410,FOSTER,UNDERAGE,02/20/2022 12:00:00 AM,K22-548266,APP WNL
A1140410,FOSTER,UNDERAGE,03/03/2022 12:00:00 AM,K22-549005,UNDERAGE
A1140410,ADOPTION,IN FOSTER,03/29/2022 12:00:00 AM,K22-550735,APP WNL
A1140411,ADOPTION,IN FOSTER,03/29/2022 12:00:00 AM,K22-550734,APP WNL
A1140411,FOSTER,UNDERAGE,03/03/2022 12:00:00 AM,K22-549006,UNDERAGE
A1140411,FOSTER,UNDERAGE,02/20/2022 12:00:00 AM,K22-548267,APP WNL
A1140411,TREATMENT,COMPLETED,03/08/2022 12:00:00 AM,K22-549336,APP WNL
A1140411,FOSTER,UNDERAGE,02/12/2022 12:00:00 AM,K22-547655,APP WNL
A1140412,EUTHANIZED,BEHAVIOR,02/19/2022 12:00:00 AM,K22-547650,APP INJ
A1140413,EUTHANIZED,SPACE,03/11/2022 12:00:00 AM,K22-547651,APP SICK
A1140414,LOST EXP,OTHER,03/13/2022 12:00:00 AM,K22-547656,N/A
A1140415,TRANSFER,BEHAVIOR,02/14/2022 12:00:00 AM,K22-547657,APP WNL
A1140417,ADOPTION,EAC,02/18/2022 12:00:00 AM,K22-547658,APP WNL
A1140418,EUTHANIZED,BEHAVIOR,04/04/2022 12:00:00 AM,K22-547659,APP SICK
A1140419,ADOPTION,WESTMORELD,02/14/2022 12:00:00 AM,K22-547660,APP WNL
A1140421,LOST EXP,OTHER,03/14/2022 12:00:00 AM,K22-547661,N/A
A1140424,RETURNED TO OWNER,WESTMORELD,02/22/2022 12:00:00 AM,K22-547662,APP WNL
A1140425,ADOPTION,WESTMORELD,02/15/2022 12:00:00 AM,K22-547663,APP WNL
A1140427,FOSTER,GENERAL,02/15/2022 12:00:00 AM,K22-547664,APP SICK
A1140427,TREATMENT,COMPLETED,03/10/2022 12:00:00 AM,K22-549481,APP WNL
A1140427,TREATMENT,COMPLETED,04/09/2022 12:00:00 AM,K22-551638,APP WNL
A1140427,TREATMENT,COMPLETED,04/23/2022 12:00:00 AM,K22-552758,APP WNL
A1140427,TREATMENT,COMPLETED,06/09/2022 12:00:00 AM,K22-556887,APP WNL
A1140427,TREATMENT,COMPLETED,05/28/2022 12:00:00 AM,K22-555859,APP WNL
A1140427,ADOPTION,BY FOSTER,07/23/2022 12:00:00 AM,K22-560746,APP WNL
A1140430,ADOPTION,WESTMORELD,02/12/2022 12:00:00 AM,K22-547665,APP WNL
A1140431,ADOPTION,WESTMORELD,02/12/2022 12:00:00 AM,K22-547666,APP WNL
A1140431,RETURNED TO OWNER,WESTMORELD,04/06/2022 12:00:00 AM,K22-551388,APP WNL
A1140431,ADOPTION,WESTMORELD,02/22/2022 12:00:00 AM,K22-548442,APP WNL
A1140433,RETURNED TO OWNER,WESTMORELD,02/20/2022 12:00:00 AM,K22-547685,APP WNL
A1140434,RETURNED TO OWNER,FIELD,02/11/2022 12:00:00 AM,K22-547670,APP WNL
A1140436,RETURNED TO OWNER,WESTMORELD,02/13/2022 12:00:00 AM,K22-547669,APP WNL
A1140437,ADOPTION,WESTMORELD,02/12/2022 12:00:00 AM,K22-547671,APP WNL
A1140438,ADOPTION,EAC,03/04/2022 12:00:00 AM,K22-547676,APP WNL
A1140440,ADOPTION,EAC,03/04/2022 12:00:00 AM,K22-547677,APP WNL
A1140441,ADOPTION,EAC,02/22/2022 12:00:00 AM,K22-547678,APP WNL
A1140443,ADOPTION,EAC,02/22/2022 12:00:00 AM,K22-547679,APP WNL
A1140444,EUTHANIZED,BEHAVIOR,02/18/2022 12:00:00 AM,K22-547682,APP WNL
A1140447,EUTHANIZED,BITE,02/12/2022 12:00:00 AM,K22-547686,APP WNL
A1140448,TRANSFER,GENERAL,02/16/2022 12:00:00 AM,K22-547687,APP WNL
A1140449,RETURNED TO OWNER,FIELD,02/11/2022 12:00:00 AM,K22-547689,APP WNL
A1140451,ADOPTION,ADOPETS,02/19/2022 12:00:00 AM,K22-547688,APP WNL
A1140453,EUTHANIZED,HUMANE,02/25/2022 12:00:00 AM,K22-547690,APP SICK
A1140455,EUTHANIZED,BEHAVIOR,02/17/2022 12:00:00 AM,K22-547692,APP WNL
A1140456,LOST EXP,OTHER,03/14/2022 12:00:00 AM,K22-547693,N/A
A1140458,ADOPTION,WESTMORELD,02/15/2022 12:00:00 AM,K22-547694,APP WNL
A1140459,FOSTER,UNDERAGE,02/12/2022 12:00:00 AM,K22-547695,UNDERAGE
A1140459,ADOPTION,IN FOSTER,02/27/2022 12:00:00 AM,K22-548697,APP WNL
A1140460,ADOPTION,IN FOSTER,03/11/2022 12:00:00 AM,K22-549546,APP WNL
A1140460,FOSTER,UNDERAGE,02/12/2022 12:00:00 AM,K22-547696,UNDERAGE
A1140461,FOSTER,UNDERAGE,02/12/2022 12:00:00 AM,K22-547697,UNDERAGE
A1140461,ADOPTION,IN FOSTER,03/11/2022 12:00:00 AM,K22-549544,APP WNL
A1140462,ADOPTION,IN FOSTER,03/11/2022 12:00:00 AM,K22-549545,APP WNL
A1140462,FOSTER,UNDERAGE,02/12/2022 12:00:00 AM,K22-547698,UNDERAGE
A1140464,TRANSFER,GENERAL,02/25/2022 12:00:00 AM,K22-547700,APP WNL
A1140465,ADOPTION,WESTMORELD,02/16/2022 12:00:00 AM,K22-547701,APP WNL
A1140466,RETURNED TO OWNER,WESTMORELD,02/14/2022 12:00:00 AM,K22-547702,APP WNL
A1140466,EUTHANIZED,BEHAVIOR,03/29/2022 12:00:00 AM,K22-549589,APP WNL
A1140468,LOST EXP,OTHER,03/14/2022 12:00:00 AM,K22-547703,N/A
A1140469,LOST EXP,OTHER,03/14/2022 12:00:00 AM,K22-547704,N/A
A1140470,LOST EXP,OTHER,03/14/2022 12:00:00 AM,K22-547705,N/A
A1140471,FOUND EXP,OTHER,03/14/2022 12:00:00 AM,K22-547706,N/A
A1140472,LOST EXP,OTHER,03/14/2022 12:00:00 AM,K22-547707,N/A
A1140473,RETURNED TO OWNER,WESTMORELD,02/15/2022 12:00:00 AM,K22-547708,APP WNL
A1140474,ADOPTION,WESTMORELD,02/13/2022 12:00:00 AM,K22-547710,APP WNL
A1140475,ADOPTION,WESTMORELD,04/01/2022 12:00:00 AM,K22-548581,APP WNL
A1140476,EUTHANIZED,SBI,03/09/2022 12:00:00 AM,K22-547712,APP WNL
A1140478,ADOPTION,ADOPETS,02/15/2022 12:00:00 AM,K22-547713,APP WNL
A1140479,ADOPTION,ADOPETS,02/22/2022 12:00:00 AM,K22-547714,APP WNL
A1140480,ADOPTION,WESTMORELD,04/12/2022 12:00:00 AM,K22-547715,APP WNL
A1140480,ADOPTION,WESTMORELD,04/26/2022 12:00:00 AM,K22-552483,APP WNL
A1140482,ADOPTION,WESTMORELD,02/16/2022 12:00:00 AM,K22-547716,APP WNL
A1140483,RETURNED TO OWNER,FIELD,02/12/2022 12:00:00 AM,K22-547717,APP WNL
A1140485,ADOPTION,WESTMORELD,02/20/2022 12:00:00 AM,K22-547719,APP WNL
A1140485,EUTHANIZED,BEHAVIOR,02/26/2022 12:00:00 AM,K22-548370,APP WNL
A1140486,RETURNED TO OWNER,FIELD,02/12/2022 12:00:00 AM,K22-547718,APP WNL
A1140487,LOST EXP,OTHER,03/15/2022 12:00:00 AM,K22-547723,N/A
A1140488,LOST EXP,OTHER,03/15/2022 12:00:00 AM,K22-547724,N/A
A1140489,FOSTER,GENERAL,04/23/2022 12:00:00 AM,K22-547728,APP WNL
A1140489,EUTHANIZED,BEHAVIOR,04/30/2022 12:00:00 AM,K22-553022,APP WNL
A1140490,EUTHANIZED,MEDICAL,02/12/2022 12:00:00 AM,K22-547729,APP INJ
A1140491,ADOPTION,WESTMORELD,03/05/2022 12:00:00 AM,K22-547731,APP WNL
A1140492,ADOPTION,WESTMORELD,03/11/2022 12:00:00 AM,K22-547732,APP WNL
A1140493,ADOPTION,WESTMORELD,02/13/2022 12:00:00 AM,K22-547733,APP WNL
A1140494,EUTHANIZED,BEHAVIOR,02/19/2022 12:00:00 AM,K22-547734,APP INJ
A1140495,EUTHANIZED,BEHAVIOR,02/19/2022 12:00:00 AM,K22-547735,APP INJ
A1140496,EUTHANIZED,BITE,02/15/2022 12:00:00 AM,K22-547736,APP WNL
A1140498,ADOPTION,WESTMORELD,03/29/2022 12:00:00 AM,K22-547738,APP WNL
A1140498,EUTHANIZED,BEHAVIOR,04/25/2022 12:00:00 AM,K22-552780,APP WNL
A1140499,LOST EXP,OTHER,03/15/2022 12:00:00 AM,K22-547739,N/A
A1140500,LOST EXP,OTHER,03/15/2022 12:00:00 AM,K22-547740,N/A
A1140501,LOST EXP,OTHER,03/15/2022 12:00:00 AM,K22-547741,N/A
A1140508,LOST EXP,OTHER,03/15/2022 12:00:00 AM,K22-547742,N/A
A1140509,LOST EXP,OTHER,03/15/2022 12:00:00 AM,K22-547743,N/A
A1140510,ADOPTION,WESTMORELD,02/16/2022 12:00:00 AM,K22-547745,APP WNL
A1140511,RETURNED TO OWNER,WESTMORELD,02/14/2022 12:00:00 AM,K22-547746,APP WNL
